States/UTs,Black Spots
Andhra Pradesh,466
Arunachal Pradesh,5
Chandigarh,6
Goa,29
Gujarat,250
Haryana,23
Himachal Pradesh,116
Manipur,5
Meghalaya,1
Madhya Pradesh,303
Nagaland,17
Punjab,296
Rajasthan,349
Tamil Nadu,748
Uttarakhand,54
West Bengal,701
Bihar,64
Delhi,113
Karnataka,551
J&K,64
Maharashtra,25
Telangana,485
Tripura,8
Jharkhand,58
Chhattisgarh,142
Mizoram,2
Kerala,243
Assam,95
Odisha,169
UP,405
Sikkim,10
,5803
